Season,Product_Type,Fabric,Gender,Price,Discount,Region,Sales
Winter,Shirt,Wool,Male,1504,19,East,18016
Autumn,Shirt,Linen,Female,1136,69,North,7505
Summer,Dress,Denim,Female,1768,25,South,1509
Autumn,Dress,Silk,Male,2960,13,North,16539
Winter,Jacket,Denim,Female,3876,53,West,15742
Autumn,Kurti,Denim,Female,2509,2,West,12677
Autumn,Jacket,Linen,Female,1246,66,West,14559
Winter,Shirt,Silk,Female,4810,66,West,14821
Winter,Shirt,Denim,Female,2789,70,North,2127
Summer,Dress,Silk,Female,609,48,West,6887
Spring,Jeans,Linen,Male,2541,69,South,13313
Autumn,Kurti,Silk,Female,4336,35,North,15241
Autumn,Shirt,Silk,Female,2279,20,North,15021
Spring,Kurti,Cotton,Female,2262,18,South,3267
Autumn,Shirt,Wool,Female,1383,32,West,2540
Spring,Kurti,Cotton,Male,935,34,East,3310
Winter,Kurti,Wool,Female,4930,51,South,11396
Spring,Jeans,Denim,Female,3481,54,West,19855
Spring,Dress,Silk,Male,3399,22,South,15869
Autumn,Jeans,Wool,Male,1671,9,East,19432
Summer,Jeans,Cotton,Male,4844,2,North,14347
Autumn,Kurti,Cotton,Male,4127,36,North,9751
Winter,Jeans,Linen,Male,1982,3,West,12713
Autumn,Dress,Denim,Female,2048,64,North,4423
Summer,Jeans,Linen,Female,1679,67,East,17803
Winter,Jacket,Linen,Male,4644,22,North,18939
Autumn,Jacket,Wool,Male,735,39,West,16164
Spring,Kurti,Denim,Female,1654,8,North,7929
Summer,Dress,Silk,Female,3898,39,South,5407
Autumn,Shirt,Denim,Female,3027,19,West,2924
Summer,Kurti,Denim,Female,2497,15,East,12091
Winter,Kurti,Denim,Female,1217,19,South,6865
Autumn,Jeans,Wool,Male,3620,69,North,10163
Summer,Shirt,Silk,Male,2824,56,North,14654
Spring,Jacket,Silk,Male,4932,35,West,15977
Spring,Kurti,Linen,Female,4803,17,West,6937
Summer,Jeans,Linen,Female,854,3,East,17224
Summer,Jacket,Denim,Female,1832,67,South,15311
Autumn,Shirt,Wool,Female,4334,23,East,7302
Winter,Dress,Wool,Female,4422,44,West,3066
Summer,Jeans,Denim,Female,1277,16,North,7362
Spring,Shirt,Wool,Female,2310,2,South,8035
Spring,Jeans,Cotton,Male,2065,60,East,16880
Spring,Kurti,Silk,Male,1436,21,South,12838
Winter,Shirt,Wool,Male,3110,33,South,5179
Summer,Shirt,Wool,Female,1445,26,South,16789
Autumn,Jeans,Wool,Female,1735,3,West,2440
Summer,Jeans,Wool,Female,1711,46,East,1187
Summer,Shirt,Cotton,Female,4029,53,North,15683
Winter,Shirt,Wool,Male,1928,59,North,15324
Winter,Jacket,Linen,Male,2629,14,East,9423
Winter,Jacket,Silk,Female,945,10,East,15058
Winter,Dress,Linen,Male,2615,70,East,5717
Autumn,Kurti,Linen,Male,640,10,North,15971
Summer,Dress,Wool,Female,2942,1,South,12308
Winter,Kurti,Linen,Female,2390,62,West,18486
Winter,Jacket,Wool,Female,4395,2,North,6656
Spring,Jacket,Denim,Female,2085,55,West,18292
Winter,Kurti,Denim,Male,4748,0,North,15491
Autumn,Shirt,Linen,Female,2440,36,East,14795
Winter,Jacket,Cotton,Male,4182,61,West,3451
Autumn,Shirt,Linen,Male,3339,28,South,2145
Autumn,Dress,Cotton,Male,3092,63,South,14646
Spring,Shirt,Wool,Female,4943,36,South,11432
Winter,Shirt,Silk,Male,979,30,South,3178
Summer,Dress,Denim,Male,2116,32,East,11843
Summer,Jacket,Silk,Male,4749,1,North,9492
Autumn,Shirt,Denim,Male,3384,24,East,10611
Spring,Jeans,Cotton,Male,4977,34,North,9472
Spring,Shirt,Silk,Female,3785,7,West,4985
Autumn,Jeans,Linen,Male,3104,54,South,15551
Winter,Jeans,Wool,Female,2270,43,South,1134
Summer,Dress,Linen,Female,2069,66,South,3724
Summer,Kurti,Denim,Female,1408,53,West,11941
Winter,Dress,Denim,Male,3868,14,East,12015
Autumn,Jeans,Silk,Male,3701,0,West,16399
Winter,Shirt,Silk,Female,3840,29,North,14214
Autumn,Dress,Wool,Female,4571,25,North,4264
Spring,Dress,Cotton,Female,2144,18,South,13157
Winter,Jacket,Denim,Male,4318,23,South,6926
Summer,Jeans,Linen,Male,3502,59,East,4105
Autumn,Dress,Cotton,Male,3465,48,North,17949
Autumn,Jacket,Linen,Female,4101,52,North,14163
Summer,Kurti,Cotton,Female,4989,57,South,13747
Winter,Jacket,Cotton,Female,2447,53,South,3438
Winter,Kurti,Cotton,Male,2631,20,South,3689
Winter,Jeans,Wool,Female,3638,60,East,9161
Summer,Jacket,Silk,Female,628,64,East,6234
Winter,Kurti,Linen,Female,3789,51,North,6328
Winter,Shirt,Wool,Female,3526,17,East,3724
Autumn,Jacket,Cotton,Male,1632,28,West,8576
Spring,Jeans,Cotton,Male,1563,48,North,9040
Winter,Dress,Linen,Male,4907,42,North,5647
Winter,Kurti,Denim,Female,2074,56,West,4671
Autumn,Shirt,Denim,Male,2489,48,East,17230
Summer,Jacket,Cotton,Male,4353,60,South,13994
Summer,Kurti,Silk,Female,1932,31,West,3348
Summer,Shirt,Cotton,Male,2396,27,North,13496
Summer,Kurti,Linen,Female,4413,11,South,4022
Autumn,Shirt,Cotton,Female,1989,43,East,8913
Winter,Shirt,Linen,Female,4991,50,West,18523
Winter,Dress,Wool,Male,3058,11,West,2472
Summer,Jeans,Silk,Male,1901,17,East,13648
Spring,Jacket,Silk,Male,4348,25,West,4265
Winter,Shirt,Cotton,Female,3781,54,South,11536
Winter,Kurti,Denim,Female,1159,26,South,4834
Winter,Shirt,Wool,Male,567,25,East,19477
Winter,Jacket,Cotton,Male,3618,50,West,12578
Summer,Jeans,Denim,Male,3846,27,South,18285
Autumn,Dress,Linen,Male,3228,31,West,6268
Summer,Jeans,Cotton,Female,1646,30,West,2840
Autumn,Shirt,Linen,Male,2098,69,West,7939
Spring,Dress,Silk,Male,4821,66,South,7940
Autumn,Dress,Linen,Female,3928,52,West,1062
Autumn,Kurti,Wool,Female,1979,4,South,8353
Spring,Shirt,Cotton,Male,1900,60,East,8550
Winter,Dress,Denim,Male,3454,42,East,5128
Summer,Jacket,Silk,Female,4372,58,South,6024
Summer,Jeans,Denim,Male,2131,50,East,6984
Summer,Jacket,Denim,Male,1936,14,South,10214
Autumn,Jeans,Wool,Male,3080,5,South,12980
Spring,Jeans,Wool,Male,735,52,South,3390
Autumn,Shirt,Linen,Female,1208,50,North,3489
Winter,Kurti,Cotton,Female,4234,49,West,12590
Winter,Jeans,Cotton,Male,682,7,North,12237
Summer,Shirt,Wool,Female,1402,28,West,2212
Spring,Kurti,Denim,Male,2460,40,West,7495
Autumn,Kurti,Linen,Male,2019,69,South,13998
Winter,Jacket,Silk,Female,4578,70,North,13305
Spring,Jacket,Wool,Female,2581,37,North,13922
Winter,Jeans,Cotton,Male,3429,48,North,2121
Winter,Jeans,Linen,Male,1254,48,South,17291
Spring,Jacket,Denim,Male,3082,55,East,11374
Spring,Dress,Silk,Female,1129,42,West,2850
Summer,Kurti,Wool,Male,4638,5,North,16448
Winter,Shirt,Wool,Male,4453,41,South,14239
Autumn,Kurti,Silk,Female,2208,70,West,9726
Summer,Jacket,Denim,Male,1893,57,West,2338
Summer,Dress,Linen,Female,4788,11,West,12750
Winter,Jacket,Wool,Male,4499,47,North,16219
Winter,Shirt,Cotton,Male,2802,41,West,16664
Autumn,Shirt,Linen,Female,4922,12,South,1707
Summer,Dress,Denim,Male,1182,40,West,19051
Autumn,Shirt,Linen,Male,2714,52,East,4588
Summer,Dress,Cotton,Male,4859,61,South,10870
Spring,Shirt,Denim,Male,2460,42,East,6221
Summer,Shirt,Cotton,Male,1659,27,North,6523
Autumn,Dress,Denim,Male,3139,37,West,9145
Autumn,Shirt,Denim,Female,2092,48,West,9683
Autumn,Shirt,Linen,Female,2538,67,East,6096
Autumn,Shirt,Wool,Male,4403,64,North,19181
Autumn,Dress,Silk,Female,2065,19,North,2567
Autumn,Shirt,Wool,Female,3986,67,West,6066
Autumn,Jeans,Wool,Female,1048,52,West,10333
Summer,Jeans,Wool,Female,1536,22,North,7003
Winter,Shirt,Linen,Female,2412,31,East,5081
Autumn,Jacket,Silk,Female,4188,30,South,15863
Summer,Jeans,Cotton,Male,4554,36,West,4206
Spring,Jeans,Wool,Male,3484,16,South,10707
Winter,Kurti,Linen,Female,3711,22,West,10367
Spring,Jacket,Silk,Female,3496,64,North,15996
Winter,Dress,Silk,Male,4341,13,South,7125
Autumn,Jeans,Linen,Male,3800,68,East,18446
Spring,Jacket,Linen,Female,4939,44,North,7278
Winter,Jacket,Silk,Male,2054,3,South,15125
Autumn,Kurti,Linen,Female,651,41,West,3683
Spring,Jeans,Wool,Female,1805,26,North,4500
Winter,Jacket,Cotton,Male,1014,26,South,14080
Spring,Dress,Cotton,Female,784,1,South,3984
Autumn,Kurti,Linen,Male,3424,52,East,16703
Winter,Dress,Linen,Male,1793,9,West,2201
Winter,Shirt,Denim,Female,4884,33,North,18373
Spring,Shirt,Silk,Male,2442,34,South,3476
Winter,Kurti,Silk,Female,3913,1,North,17901
Summer,Shirt,Silk,Female,4247,61,East,1482
Spring,Jacket,Wool,Male,4212,49,North,17139
Winter,Jeans,Silk,Female,2040,32,West,10822
Winter,Jeans,Wool,Female,2344,33,East,8505
Spring,Kurti,Linen,Female,3111,62,East,17256
Autumn,Jeans,Silk,Male,3803,8,South,10723
Autumn,Shirt,Wool,Female,2408,69,South,2324
Autumn,Dress,Denim,Male,2260,31,East,8079
Spring,Kurti,Wool,Male,3313,49,North,3375
Autumn,Dress,Linen,Female,1580,5,South,2955
Winter,Jacket,Wool,Female,3421,9,West,7218
Spring,Jeans,Denim,Female,4595,11,East,17961
Autumn,Kurti,Denim,Male,4197,64,North,10187
Spring,Shirt,Denim,Female,4753,52,South,13245
Winter,Shirt,Cotton,Female,2521,2,South,3075
Summer,Shirt,Silk,Male,4521,24,South,15985
Spring,Kurti,Cotton,Female,1961,31,South,16780
Spring,Kurti,Linen,Male,3376,51,North,2232
Autumn,Jacket,Cotton,Female,585,34,West,7018
Autumn,Kurti,Cotton,Male,1718,39,North,11419
Spring,Shirt,Silk,Female,4736,18,North,12797
Spring,Shirt,Wool,Female,2505,59,East,17739
Autumn,Shirt,Silk,Female,625,39,North,8108
Summer,Shirt,Wool,Male,3439,22,West,19506
Summer,Shirt,Silk,Male,1875,35,West,17130
Winter,Dress,Cotton,Male,2499,21,West,13145
Spring,Jeans,Wool,Female,1187,54,South,4148
Autumn,Dress,Cotton,Female,4815,38,East,13012
Winter,Dress,Wool,Male,2105,70,South,18989
Autumn,Shirt,Wool,Female,4381,24,South,16022
Winter,Jacket,Cotton,Female,3089,38,West,2300
Autumn,Kurti,Cotton,Female,1412,68,East,11821
Spring,Kurti,Cotton,Male,2928,6,East,15521
Summer,Kurti,Silk,Female,4379,31,North,2692
Winter,Shirt,Linen,Female,578,20,South,5774
Autumn,Dress,Linen,Male,619,13,North,10902
Spring,Jacket,Silk,Female,2240,70,East,12633
Summer,Kurti,Cotton,Female,2939,24,West,8570
Winter,Shirt,Denim,Male,1003,61,South,19738
Spring,Dress,Denim,Male,4007,0,East,9757
Summer,Jeans,Silk,Male,2695,38,North,1917
Summer,Shirt,Wool,Male,3028,13,West,2283
Summer,Dress,Wool,Female,4266,10,West,17319
Winter,Jacket,Wool,Male,1760,11,North,2219
Autumn,Jacket,Wool,Female,1257,32,East,1172
Spring,Dress,Linen,Female,2203,15,North,12287
Spring,Jacket,Wool,Female,1539,30,West,12130
Spring,Shirt,Denim,Male,1252,58,South,3117
Summer,Kurti,Wool,Female,3086,32,East,11023
Summer,Dress,Wool,Female,4777,35,North,19533
Winter,Shirt,Denim,Female,599,58,East,2996
Winter,Shirt,Linen,Male,1993,66,North,16961
Winter,Shirt,Linen,Female,1467,17,South,1446
Autumn,Kurti,Silk,Female,528,58,West,19094
Spring,Shirt,Denim,Female,1574,3,East,3994
Spring,Dress,Wool,Female,1102,22,East,18140
Summer,Shirt,Silk,Female,2049,19,North,16948
Summer,Kurti,Cotton,Male,3170,57,South,15035
Winter,Dress,Wool,Male,3226,5,West,9136
Autumn,Dress,Wool,Male,795,42,West,6695
Summer,Shirt,Denim,Female,1230,48,South,15447
Spring,Dress,Silk,Male,2838,68,West,6872
Spring,Jacket,Silk,Female,1347,0,South,19563
Summer,Shirt,Linen,Female,4462,22,East,12331
Autumn,Jacket,Wool,Female,3794,62,West,5673
Spring,Shirt,Linen,Male,3075,21,East,12032
Summer,Dress,Cotton,Male,1935,53,East,11068
Winter,Kurti,Cotton,Male,2198,10,North,16436
Summer,Kurti,Denim,Female,3745,37,East,19689
Autumn,Shirt,Wool,Male,2067,14,East,13828
Summer,Jeans,Linen,Female,3786,55,East,2751
Autumn,Jeans,Linen,Female,1586,54,North,17732
Autumn,Jacket,Linen,Female,2242,36,West,10591
Summer,Kurti,Silk,Female,3829,7,South,8362
Autumn,Dress,Denim,Male,3024,48,South,13104
Autumn,Kurti,Cotton,Male,3966,38,North,4593
Summer,Shirt,Silk,Female,4159,49,North,5025
Winter,Jacket,Silk,Female,1426,58,West,13929
Spring,Jeans,Linen,Female,1728,5,West,6656
Spring,Jacket,Wool,Female,1922,60,South,7515
Spring,Shirt,Linen,Male,1817,11,South,15519
Winter,Dress,Silk,Female,4770,26,South,16398
Summer,Kurti,Denim,Male,4134,69,South,12237
Autumn,Shirt,Cotton,Male,3957,67,West,16613
Winter,Jacket,Cotton,Male,818,18,East,13335
Winter,Jeans,Wool,Male,3812,33,East,15617
Spring,Dress,Wool,Female,2649,19,North,19185
Spring,Shirt,Silk,Female,671,13,North,12494
Spring,Shirt,Silk,Female,4987,56,South,11902
Autumn,Dress,Linen,Female,2705,18,West,11658
Winter,Kurti,Silk,Female,3240,50,South,6934
Autumn,Jeans,Denim,Male,1410,14,West,10578
Winter,Dress,Cotton,Male,4162,7,South,2311
Spring,Kurti,Linen,Female,3723,62,West,12504
Spring,Dress,Wool,Male,2577,42,South,13717
Winter,Dress,Cotton,Male,3779,27,West,17727
Summer,Dress,Denim,Male,1147,58,South,17285
Autumn,Shirt,Wool,Female,4473,11,North,17919
Autumn,Jacket,Cotton,Female,3610,31,West,15121
Autumn,Kurti,Silk,Female,733,38,North,5883
Spring,Jeans,Wool,Female,2848,60,North,12970
Spring,Dress,Denim,Female,4969,46,North,2901
Autumn,Jeans,Linen,Female,2355,21,South,2733
Summer,Shirt,Wool,Male,1041,36,North,7715
Autumn,Kurti,Silk,Female,2647,19,East,10890
Winter,Jeans,Denim,Female,3963,39,North,12193
Spring,Kurti,Linen,Female,2585,3,East,12176
Winter,Kurti,Silk,Male,538,14,West,17911
Winter,Shirt,Cotton,Male,732,13,East,3478
Winter,Jeans,Cotton,Female,3899,69,West,8693
Spring,Jeans,Silk,Male,3319,43,North,8920
Autumn,Jeans,Linen,Female,2319,42,South,1213
Autumn,Dress,Silk,Male,3346,62,North,4897
Autumn,Dress,Cotton,Male,2906,14,West,4688
Summer,Kurti,Linen,Male,3039,28,North,16024
Spring,Shirt,Cotton,Male,906,37,West,12878
Spring,Kurti,Wool,Female,4423,51,West,14109
Spring,Dress,Wool,Female,3479,46,North,3985
Autumn,Kurti,Wool,Male,4050,16,East,6298
Winter,Kurti,Cotton,Female,1604,4,South,16426
Spring,Kurti,Wool,Female,3438,28,West,6945
Winter,Jeans,Linen,Male,925,64,East,18729
Autumn,Jacket,Linen,Female,2948,39,West,9894
Winter,Kurti,Silk,Male,4486,24,North,14160
Autumn,Jeans,Wool,Male,1019,16,North,14459
Summer,Kurti,Silk,Female,4953,12,East,1582
Spring,Kurti,Cotton,Female,1024,8,West,6483
Summer,Kurti,Linen,Male,1498,6,South,10065
Autumn,Jacket,Silk,Female,2533,15,West,18023
Spring,Dress,Silk,Male,2023,56,West,7106
Summer,Jacket,Cotton,Male,4474,37,East,17473
Spring,Jacket,Cotton,Female,597,0,North,8627
Spring,Dress,Cotton,Female,721,55,South,17723
Spring,Dress,Linen,Female,2214,37,West,11344
Spring,Dress,Silk,Male,3187,7,West,11840
Winter,Dress,Linen,Female,4609,32,North,1922
Autumn,Jeans,Linen,Female,4500,16,South,18307
Spring,Dress,Cotton,Male,2255,8,West,19310
Spring,Shirt,Silk,Male,2628,20,South,10610
Spring,Jeans,Cotton,Female,927,22,North,1765
Autumn,Dress,Denim,Female,2728,47,West,4070
Autumn,Kurti,Silk,Female,2492,8,North,10428
Spring,Jeans,Silk,Male,3354,40,West,11144
Winter,Jeans,Linen,Male,1248,14,West,8240
Winter,Jeans,Denim,Female,4596,65,North,11850
Spring,Kurti,Wool,Female,4160,14,North,5896
Winter,Shirt,Linen,Male,883,45,South,14468
Spring,Dress,Linen,Female,2304,37,East,8915
Summer,Dress,Denim,Female,3385,68,West,19854
Summer,Jeans,Wool,Male,557,2,West,2480
Winter,Jacket,Silk,Female,2942,46,East,4367
Winter,Jacket,Silk,Female,2900,11,West,16810
Autumn,Jeans,Cotton,Female,3684,42,West,12679
Spring,Shirt,Cotton,Male,4259,12,North,16494
Autumn,Jeans,Silk,Male,4066,42,North,4407
Summer,Shirt,Silk,Male,2371,6,North,3404
Autumn,Shirt,Linen,Female,3769,20,North,15872
Summer,Shirt,Cotton,Female,2643,22,West,6760
Summer,Shirt,Denim,Male,2436,51,East,4726
Autumn,Jacket,Silk,Male,2894,38,West,3930
Spring,Shirt,Cotton,Male,1417,20,East,10125
Winter,Jacket,Silk,Male,2508,0,North,9651
Autumn,Jacket,Denim,Female,607,2,North,15237
Spring,Jeans,Cotton,Female,3426,55,East,19848
Summer,Kurti,Wool,Female,3373,62,North,9716
Spring,Kurti,Wool,Male,753,56,North,16048
Summer,Dress,Silk,Male,1284,41,North,13914
Summer,Jacket,Wool,Female,736,47,South,18313
Winter,Shirt,Silk,Female,1518,17,West,2024
Summer,Dress,Linen,Male,2111,11,South,10013
Spring,Shirt,Denim,Male,1653,41,West,3709
Summer,Jacket,Denim,Female,2007,70,East,6210
Winter,Shirt,Denim,Female,4474,37,North,9752
Winter,Jeans,Denim,Male,2131,39,East,2820
Summer,Dress,Linen,Male,1687,65,North,18734
Winter,Kurti,Cotton,Female,1933,35,South,10485
Spring,Shirt,Cotton,Male,1912,30,South,4904
Spring,Jacket,Wool,Male,2676,22,South,15520
Summer,Shirt,Denim,Female,2973,6,North,16005
Winter,Jacket,Linen,Male,1995,57,South,13538
Spring,Kurti,Wool,Female,1183,18,North,7559
Spring,Shirt,Silk,Male,3596,10,South,9036
Summer,Jeans,Denim,Male,1920,33,North,11626
Spring,Kurti,Linen,Male,1664,69,West,6891
Winter,Jeans,Silk,Male,618,44,East,8901
Autumn,Dress,Linen,Female,3170,24,North,16396
Winter,Kurti,Silk,Male,2139,11,West,4398
Spring,Dress,Silk,Male,1581,45,West,6739
Summer,Kurti,Cotton,Female,4379,35,South,16106
Summer,Jeans,Wool,Male,4463,32,West,5848
Summer,Kurti,Silk,Male,3498,7,South,6149
Summer,Kurti,Cotton,Male,1728,27,North,17888
Winter,Dress,Cotton,Male,4996,43,East,5136
Summer,Jeans,Cotton,Male,1138,53,North,18580
Autumn,Jeans,Cotton,Female,2535,58,South,18536
Summer,Jacket,Wool,Male,2480,58,East,19179
Autumn,Kurti,Wool,Male,4772,43,South,8050
Spring,Jeans,Linen,Female,1232,49,South,3647
Autumn,Shirt,Cotton,Male,4693,3,West,16243
Autumn,Kurti,Denim,Male,1955,13,South,16609
Winter,Jeans,Wool,Female,4316,28,North,13253
Winter,Shirt,Denim,Male,2126,66,North,10453
Spring,Kurti,Cotton,Female,1120,24,North,15338
Spring,Kurti,Wool,Male,4380,16,North,15259
Autumn,Jacket,Linen,Male,2530,23,South,18903
Summer,Shirt,Silk,Female,4306,53,South,13958
Autumn,Kurti,Cotton,Female,2531,57,South,7328
Spring,Jeans,Linen,Male,2960,57,West,17809
Winter,Shirt,Wool,Female,579,57,East,2584
Winter,Shirt,Linen,Male,685,40,North,15321
Summer,Kurti,Silk,Female,1565,37,South,18542
Autumn,Jeans,Wool,Male,2433,10,South,16708
Summer,Jeans,Silk,Male,1623,46,South,8763
Winter,Dress,Cotton,Female,512,46,East,15621
Spring,Jeans,Wool,Female,2115,44,East,13623
Spring,Jeans,Linen,Male,2838,55,East,6357
Winter,Jeans,Silk,Male,906,50,West,10506
Summer,Shirt,Silk,Female,1289,61,South,18257
Winter,Shirt,Linen,Female,1647,24,West,5273
Autumn,Dress,Cotton,Female,1267,37,North,7161
Summer,Jacket,Denim,Female,554,68,East,13750
Winter,Kurti,Cotton,Female,3141,49,South,4196
Autumn,Shirt,Cotton,Female,3092,37,South,19157
Spring,Dress,Denim,Female,2293,22,North,12524
Spring,Shirt,Linen,Female,913,45,North,6376
Summer,Kurti,Wool,Male,4593,17,West,13347
Spring,Jeans,Cotton,Male,3360,7,South,11286
Winter,Dress,Linen,Female,3028,52,South,3110
Autumn,Jeans,Wool,Male,1491,48,West,3700
Winter,Kurti,Denim,Male,918,56,South,2179
Summer,Jeans,Cotton,Male,4097,64,West,3240
Spring,Jeans,Silk,Female,1732,0,South,9982
Summer,Jacket,Cotton,Male,810,44,South,15104
Spring,Dress,Denim,Female,1895,31,West,11777
Spring,Kurti,Cotton,Female,2026,32,East,19154
Autumn,Dress,Denim,Female,1732,25,North,10001
Autumn,Dress,Wool,Male,3990,32,North,15673
Winter,Shirt,Silk,Male,3600,4,North,19703
Autumn,Shirt,Silk,Male,3289,44,South,12149
Autumn,Jeans,Wool,Male,1929,54,South,5151
Winter,Shirt,Linen,Male,2206,46,East,13955
Spring,Jacket,Cotton,Female,2943,14,West,4871
Summer,Shirt,Wool,Female,1319,37,East,19745
Summer,Shirt,Denim,Female,693,57,East,7167
Winter,Kurti,Cotton,Male,953,38,South,3392
Winter,Jacket,Silk,Male,642,25,North,12301
Autumn,Jacket,Denim,Female,4693,9,West,12700
Winter,Jeans,Denim,Male,3536,68,South,14690
Winter,Jeans,Denim,Female,3195,8,East,1063
Winter,Jacket,Cotton,Female,4177,15,North,10035
Winter,Dress,Wool,Female,2728,29,West,3305
Winter,Dress,Wool,Female,3293,12,North,19116
Summer,Jacket,Linen,Female,3532,45,North,1340
Spring,Shirt,Wool,Male,4620,24,North,13340
Summer,Jeans,Wool,Male,1453,9,South,5917
Spring,Jacket,Linen,Female,851,47,West,4116
Autumn,Jacket,Denim,Female,4215,36,East,3299
Spring,Jeans,Linen,Male,2324,61,South,2396
Winter,Kurti,Wool,Male,2511,29,East,18120
Winter,Kurti,Wool,Male,2768,59,West,9964
Autumn,Jeans,Cotton,Male,4638,44,West,17759
Winter,Jacket,Denim,Male,1154,56,South,12431
Autumn,Dress,Linen,Male,3607,13,West,7898
Autumn,Jacket,Cotton,Female,3193,38,East,3898
Autumn,Shirt,Silk,Male,4864,34,East,6556
Autumn,Shirt,Denim,Male,3380,45,East,2241
Autumn,Jacket,Wool,Male,2178,68,North,9001
Winter,Jacket,Denim,Female,4276,48,North,12395
Summer,Dress,Cotton,Male,4557,46,North,19434
Spring,Dress,Silk,Male,4007,24,South,17363
